,0,1,2,3,4
0,0.5,0.5,0.0,0.0,0.0
1,0.5,0.0,0.5,0.0,0.0
2,0.5,0.0,0.0,0.5,0.0
3,0.5,0.0,0.0,0.0,0.5
4,0.0,0.5,0.5,0.0,0.0
5,0.0,0.5,0.0,0.5,0.0
6,0.0,0.5,0.0,0.0,0.5
7,0.0,0.0,0.0,1.0,0.0
8,0.0,0.0,0.5,0.0,0.5
9,0.0,0.0,0.0,0.5,0.5
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
11,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
12,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
13,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
14,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
15,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
16,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
17,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
18,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
19,0.0,0.0,0.0,0.5,0.5
20,0.25,0.25,0.25,0.25,0.0
21,0.25,0.25,0.25,0.0,0.25
22,0.25,0.25,0.0,0.25,0.25
23,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
24,0.0,0.25,0.25,0.25,0.25
25,0.2,0.2,0.2,0.2,0.2
